Indicator	Category	Ransomware	Keylogger	Worm	Backdoor	Techniques
Accesses Safari cookie databases.	general	0	0	0	1	T1005;T1539
Accesses Safari navigation history databases.	general	0	0	0	1	T1005;T1217
Accesses Safari session databases.	general	0	0	0	1	T1005;T1539
Accesses Skype chat history database.	general	0	0	0	1	T1005
Accesses Skype related files.	general	0	0	0	0	
Accesses Skype stored credentials.	general	0	0	1	0	T1003
Accesses SSH key files.	general	0	0	0	0	T1145
Accesses system network services registry keys.	general	0	0	0	0	T1016;T1082
Accesses system network settings.	general	0	0	0	0	T1016;T1082
Accesses system passwords.	general	0	0	0	0	T1003
Accesses system settings.	general	0	0	0	0	T1082
Accesses Telnet related registry keys.	general	0	0	0	0	T1012;T1112
Accesses the Event Log.	general	0	0	0	0	T1005;T1070
Accesses Thunderbird certificate database.	general	0	0	0	0	T1130
Accesses Thunderbird contact/address book.	general	0	0	1	0	T1005;T1114
Accesses Thunderbird cookie files.	general	0	0	0	0	T1005;T1539
Accesses Thunderbird download history database.	general	0	0	0	0	T1005
Accesses Thunderbird extension database.	general	0	0	0	0	T1518;T1005
Accesses Thunderbird mailbox files.	general	0	0	0	1	T1005;T1114
Accesses Thunderbird message filter database.	general	0	0	0	0	T1089
Accesses Thunderbird stored credentials.	general	0	0	0	1	T1003
Accesses user account information.	general	0	0	0	1	T1033;T1087
Accesses user account settings.	general	0	0	0	1	T1033;T1087
Accesses user login log files.	general	0	0	0	1	T1005
Accesses user profile settings.	general	0	0	0	0	T1156
Accesses users call history.	general	0	0	0	1	T1433
Accesses users SMS history.	general	0	0	0	1	T1412
Accesses VNC passwords.	general	0	0	0	1	T1214;T1005
Accesses webcam/microphone peripherals.	general	0	0	0	1	T1125;T1123
Accesses website cookie databases.	general	0	0	0	0	T1005;T1539
Accesses Windows Mail preferences.	general	0	0	0	1	T1012;T1112
Accesses Windows Mail stored credentials.	general	0	0	0	1	T1081
Accesses wp-config.php file.	general	0	0	0	1	
Accesses/installs certificates.	general	0	0	0	0	
Accesses/modifies registry.	general	0	0	0	0	T1012;T1112
Activates a bitsadmin job.	general	0	0	0	0	T1197
Adds a contact into a FDF file.	general	0	0	0	0	
Adds a file into a FDF file.	general	0	0	0	0	
Adds a new entry to or updates an existing entry in the resource SACL for the resource type specified.	general	1	1	1	1	
Adds a new remote desktop connection permission using WMI.	general	0	0	0	0	T1047;T1076
Adds attachments to e-mails.	general	0	0	1	0	
Adds files to ZIP archive.	general	0	0	0	0	
Adds links to document.	general	0	0	0	0	
Adds new certificates to trust store	general	0	0	0	0	T1130
Adds new users.	general	0	0	0	0	T1136
Adds or removes computer from a domain or workgroup.	general	0	0	0	1	
Adds system to a domain or a workgroup using WMI.	general	0	0	0	0	T1047
Allows a remote desktop connection using WMI.	general	0	0	0	0	T1047;T1076
Allows non Windows clients to authenticate by using Windows Key Distribution Center (KDC).	general	0	0	0	0	
Applies digital signature to a field.	general	0	0	0	0	
Asks for permission to open other processes.	general	0	0	0	0	
Asks user to accept a potentially dangerous download.	general	0	0	0	0	
Asks user to download file.	general	0	0	0	0	
