Indicator	Category	Ransomware	Keylogger	Worm	Backdoor	Techniques
Enumerates devices associated with current account.	general	0	0	0	0	T1082;T1120
Enumerates different directory handlers inside security handler.	general	0	0	0	0	
Enumerates disk partitions using WMI.	general	1	0	1	0	T1047;T1082
Enumerates display information.	general	0	0	0	1	T1082
Enumerates document content.	general	0	0	0	0	T1005
Enumerates downloads.	general	0	0	0	0	
Enumerates embedded sounds.	general	0	0	0	0	
Enumerates event log settings using WMI.	general	0	0	0	0	T1047
Enumerates event triggers on local or remote machines.	general	0	0	0	0	
Enumerates events and event properties from one or more event logs.	general	1	1	1	1	
Enumerates events from event logs using WMI.	general	0	0	0	0	T1047
Enumerates events from event logs.	general	0	0	0	0	
Enumerates file extension associations.	general	0	0	0	0	
Enumerates file systems.	general	1	0	0	0	T1082
Enumerates files and directories using WMI.	general	1	0	0	1	T1047;T1083
Enumerates files that belong to a specified user.	general	1	0	0	1	T1083
Enumerates files using WMI.	general	1	0	0	1	T1047;T1083
Enumerates files.	general	1	0	0	1	T1083
Enumerates groups in a repository of user information.	general	0	0	0	0	T1087
Enumerates hardware information (printers).	general	0	0	0	0	T1082;T1120
Enumerates index path.	general	0	0	0	0	
Enumerates installed application using WMI.	general	0	0	0	0	T1047;T1518
Enumerates installed device drivers.	general	0	0	0	0	T1082
Enumerates installed devices.	general	0	0	0	0	T1082;T1120
Enumerates installed Windows Store apps.	general	0	0	0	0	T1518
Enumerates kernel modules.	general	0	0	0	0	T1082
Enumerates logical disk drives using WMI.	general	1	0	1	0	T1047;T1082
Enumerates logon sessions using WMI.	general	0	0	0	0	T1047
Enumerates media access control (MAC) addresses for all network cards.	general	0	0	0	0	T1016
Enumerates media constraints of the browser.	general	0	0	0	0	
Enumerates media URL.	general	0	0	0	0	
Enumerates memory chip information using WMI.	general	0	0	0	0	T1047;T1082
Enumerates MIME types supported by the browser.	general	0	0	0	0	
Enumerates monitor information.	general	0	0	0	0	T1082;T1120
Enumerates motherboard information using WMI.	general	0	0	0	0	T1047;T1082
Enumerates name or version of the current browser.	general	0	0	0	1	T1518
Enumerates network login information using WMI.	general	0	0	0	0	T1047;T1082
Enumerates network settings using WMI.	general	0	0	0	1	T1047;T1082;T1016
Enumerates network share/resource information.	general	1	0	1	1	T1135
Enumerates network shares or mounted drives.	general	1	0	1	1	T1135
Enumerates network shares.	general	1	0	1	0	T1135
Enumerates open browser windows.	general	0	0	0	0	
Enumerates open pages.	general	0	0	0	0	
Enumerates operating system information using WMI.	general	0	0	0	1	T1047;T1082
Enumerates operating system recovery settings using WMI.	general	1	0	0	0	T1047;T1082
Enumerates operating system version.	general	1	1	1	1	T1082
Enumerates or changes current locale.	general	0	0	0	0	
Enumerates or sets printer name.	general	0	0	0	0	
Enumerates paths.	general	0	0	0	0	T1083
Enumerates peripherals	general	0	0	0	0	T1082;T1120
Enumerates physical connection ports using WMI.	general	0	1	0	0	T1047;T1082
Enumerates physical disk drives using WMI.	general	1	0	1	0	T1047;T1082;T1120
Enumerates physical memory information.	general	0	0	0	0	T1082;T1120
Enumerates plugins installed in the browser.	general	0	0	0	0	T1518
Enumerates plugins.	general	0	0	0	0	T1518
Enumerates preferred languages of the user.	general	1	0	0	0	
Enumerates printer jobs using WMI.	general	0	0	0	0	T1047
Enumerates printer names using WMI.	general	0	0	0	0	T1047;T1120;T1120
Enumerates printer settings using WMI.	general	0	0	0	0	T1047;T1082
Enumerates processes using WMI.	general	0	0	0	0	T1047;T1057
Enumerates product information.	general	0	0	0	1	
Enumerates recently closed tabs or windows.	general	0	0	0	1	
Enumerates remote desktop connection permissions using WMI.	general	0	0	0	0	T1047
Enumerates Resultant Set of Policy (RSoP) information for a remote user and computer.	general	0	0	0	0	
Enumerates security handlers.	general	1	1	1	1	
Enumerates services using WMI.	general	0	0	0	0	T1047;T1007
Enumerates services.	general	0	0	0	0	T1007
Enumerates shadow copy settings using WMI.	general	1	0	0	0	T1047
Enumerates shared resources using WMI.	general	1	0	1	0	T1047
Enumerates signature properties.	general	0	0	0	0	
Enumerates sound device information using WMI.	general	0	0	0	0	T1047;T1082
Enumerates startup programs using WMI.	general	0	0	0	0	T1047
Enumerates stored command history.	general	0	1	0	1	T1005
Enumerates supported media formats.	general	0	0	0	0	
Enumerates system account information using WMI.	general	0	0	0	1	T1047;T1087
Enumerates system domain information using WMI.	general	0	0	0	0	T1047
Enumerates system drivers using WMI.	general	0	0	0	0	T1047;T1082
Enumerates system drivers.	general	0	0	0	0	T1082
Enumerates system environment variables using WMI.	general	0	0	0	0	T1047;T1082
Enumerates system firmware environment variables and information.	general	0	0	0	0	T1082
Enumerates system firmware tables.	general	0	0	0	0	T1082
Enumerates system information from SMBIOS using WMI.	general	0	0	0	0	T1047;T1082
Enumerates system information using WMI.	general	0	0	0	0	T1047;T1082
Enumerates system information.	general	0	0	0	1	T1082
Enumerates system services load order using WMI.	general	0	0	0	0	T1047;T1082
Enumerates system variables.	general	0	0	0	0	T1082
Enumerates TCP/IP network configuration values.	general	0	0	0	0	T1016
Enumerates the addresses associated with the adapters on the local computer.	general	0	0	0	0	T1016
Enumerates the current operating system.	general	0	0	0	0	T1082
Enumerates the current platform of the browser.	general	0	0	0	0	T1082
Enumerates the number of logical processor cores.	general	0	0	0	0	T1082
Enumerates trusted execution enclave information.	general	0	0	0	0	T1082
Enumerates USB printer info.	general	0	0	0	0	T1082
Enumerates user accounts using WMI.	general	0	0	0	0	T1047;T1087
Enumerates user accounts.	general	0	0	0	0	T1087
Enumerates user desktop information using WMI.	general	0	0	0	0	T1047;T1082
Enumerates user groups using WMI.	general	0	0	0	0	T1047;T1087
Enumerates user groups.	general	0	0	0	0	T1087
Enumerates user information (current language).	general	1	0	0	0	
Enumerates user information (login name).	general	0	0	0	0	
Enumerates user information (monitors).	general	0	0	0	0	
Enumerates user information (platform).	general	0	0	0	0	
Enumerates user information (plugins).	general	0	0	0	0	
Enumerates user information (printer color spaces).	general	0	0	0	0	
Enumerates user information (spelling settings).	general	0	0	0	0	
Enumerates user information (user profile path).	general	0	0	0	0	
Enumerates user information (viewer info).	general	0	0	0	0	
Enumerates user information using 'finger' command.	general	0	0	0	0	
Enumerates user information.	general	0	0	0	0	
Enumerates user locale information.	general	1	0	0	0	
Enumerates users in a repository of user information.	general	0	0	0	0	
Enumerates video capture device driver information.	general	0	0	0	0	T1082
Enumerates VR display information.	general	0	0	0	0	T1082
Enumerates WMI aliases.	general	0	0	0	0	T1047;T1082
Enumerates WMI service settings.	general	0	0	0	0	T1047;T1082
Erases backup catalog stored on the local computer.	general	1	0	0	0	T1490
Erases content of items, such as files.	general	0	0	0	0	
Erases downloads.	general	0	0	0	1	T1107
Erases Volume Shadow copies.	general	1	0	0	0	T1490
Evaluates code dynamically.	general	1	1	1	1	T1027
Evaluates PHP code dynamically.	general	0	1	1	1	T1027
Executes a Base64 encoded string.	general	0	0	0	0	T1140;T1204
Executes a file with a hidden window.	general	1	1	1	1	T1143;T1106
Executes a file.	general	0	0	0	1	T1106
Executes actions from the application menu.	general	0	0	0	0	
Executes ActionScript code.	general	0	0	0	0	T1064
Executes additional DLL modules, or calls exported functions.	general	1	1	1	1	T1129;T1085
Executes an application and sends keystrokes to it.	general	1	1	1	1	T1106
Executes and measures running time of a command.	general	0	0	0	1	T1064
Executes another batch file.	general	0	0	0	1	T1064
Executes code directly from the Internet.	general	0	0	0	1	T1191
Executes code using cmstp.	general	0	0	0	1	T1191
Executes code within a trusted execution enclave.	general	0	0	0	0	
Executes commands as a PowerShell Workflow.	general	0	0	0	0	T1086
Executes commands as another user.	general	1	1	1	1	T1106
Executes commands as PowerShell background jobs.	general	0	0	0	1	T1086
Executes commands in a new PowerShell module.	general	0	0	0	1	T1086
Executes commands in command line.	general	1	1	1	1	T1059
Executes commands inside Windows Store app container.	general	0	0	0	0	
Executes commands on a local or remote computer.	general	0	0	0	0	
Executes commands through DDE.	general	0	0	0	0	T1173
Executes commands using superuser rights.	general	1	1	1	1	T1059
Executes DiskPart scripts.	general	0	0	0	0	
Executes Operation Validation Framework tests for a PowerShell module.	general	0	0	0	0	
Executes Pester tests for Windows PowerShell.	general	0	0	0	0	
Executes script on startup.	general	0	0	0	0	T1064
Executes script when document is opened or closed.	general	0	0	0	0	T1064
Executes scripts stored in an Alternate Data Stream (ADS).	general	0	0	0	0	T1064;T1202;T1027
Executes scripts using cscript tool.	general	0	0	0	0	T1064;T1202
Executes scripts using Shared Worker API.	general	0	0	0	0	T1064;T1202
Executes SOAP request (Remote Procedure Call).	general	0	0	0	0	
Executes the action associated with bookmark.	general	0	0	0	0	
Executes Troubleshooting Packs.	general	0	0	0	0	
Expands one or more compressed files.	general	0	0	0	0	T1140
Exports a certificate file.	general	0	0	0	0	
Exports a custom spelling dictionary to a file.	general	0	0	0	0	
Exports commands from another PowerShell session.	general	0	1	0	1	T1005
Exports data to file.	general	0	0	0	0	
Exports form fields to file.	general	0	0	0	0	
Exports loaded snap-ins to file.	general	0	0	0	0	
Exports pages to a file.	general	0	0	0	0	
Exports the audit policy to a file.	general	0	0	0	0	
Extracts files from ZIP archive.	general	0	0	0	0	T1140
Extracts one or more compressed files.	general	0	0	0	0	T1140
Flushes and resets the contents of the DNS client resolver cache.	general	0	0	0	0	
Formats a disk.	general	0	0	0	0	
Gathers info about disk drives or directories on the system.	general	1	0	1	1	T1082
Generates additional assembly modules.	general	1	1	1	1	
Generates cryptographically secure random numbers.	general	1	0	0	0	
Generates cryptographically strong random values.	general	1	0	0	0	
Generates report.	general	0	0	0	0	
Gets all available voices for speech synthesis.	general	0	0	0	0	
Gets an index for a given file path.	general	0	0	0	0	
Gets email address and ID of the signed in user.	general	0	0	0	0	T1087
Gets information about an document index.	general	0	0	0	0	
Gets information about document file.	general	0	0	0	0	
Gets information about location of media files.	general	0	0	0	0	
Gets notified when removable storage device is attached or detached.	general	1	0	1	0	
Gets or sets data source for media.	general	0	0	0	0	
Gets or sets the security protocol used by the ServicePoint objects.	general	0	0	0	0	
Gets the available capacity of a storage device.	general	0	0	0	0	
Gets the dimensions of the browser window.	general	0	0	0	0	
Gets the security policy string of the current browser.	general	0	0	0	0	
Gets the vendor name of the current browser.	general	0	0	0	0	T1518
Grants full permission to everyone on files or directories.	general	1	0	0	1	T1222
Grants privileges to users on the local computer.	general	1	1	1	1	T1098
Headers indicate that the DKIM (Domain Keys Identified Mail) check has failed.	general	0	0	0	0	T1192
Headers indicate that the DMARC (Domain-based Message Authentication, Reporting and Conformance) check has failed.	general	0	0	0	0	T1192
Headers indicate that the SPF (Sender Policy Framework) check has failed.	general	0	0	0	0	T1192
Hides a window during execution of the code.	general	1	1	1	1	T1143
Hides all signs of execution by using different PowerShell command line flags.	general	1	1	1	1	T1143;T1027
Hides cursor in full screen mode.	general	0	0	0	0	
Ignores all boot failures.	general	0	0	0	0	
Impersonates services related to Ad-Aware security products.	general	1	1	1	1	T1036
Impersonates services related to Agnitum security products.	general	1	1	1	1	T1036
Impersonates services related to AhnLab security products.	general	1	1	1	1	T1036
Impersonates services related to Avast security products.	general	1	1	1	1	T1036
Impersonates services related to AVG security products.	general	1	1	1	1	T1036
Impersonates services related to Avira security products.	general	1	1	1	1	T1036
Impersonates services related to BitDefender security products.	general	1	1	1	1	T1036
Impersonates services related to CA security products.	general	1	1	1	1	T1036
Impersonates services related to ClamAV security products.	general	1	1	1	1	T1036
Impersonates services related to common security products, firewalls or anti-virus solutions.	general	1	1	1	1	T1036
Impersonates services related to DrWeb security products.	general	1	1	1	1	T1036
Impersonates services related to ESET security products.	general	1	1	1	1	T1036
Impersonates services related to F-Secure security products.	general	1	1	1	1	T1036
Impersonates services related to G Data security products.	general	1	1	1	1	T1036
Impersonates services related to Ikarus security products.	general	1	1	1	1	T1036
Impersonates services related to K7 Computing security products.	general	1	1	1	1	T1036
Impersonates services related to Kaspersky security products.	general	1	1	1	1	T1036
Impersonates services related to Kingsoft security products.	general	1	1	1	1	T1036
Impersonates services related to McAfee security products.	general	1	1	1	1	T1036
Impersonates services related to Microsoft security products.	general	1	1	1	1	T1036
Impersonates services related to Norman security products.	general	1	1	1	1	T1036
Impersonates services related to Panda security products.	general	1	1	1	1	T1036
Impersonates services related to QuickHeal security products.	general	1	1	1	1	T1036
Impersonates services related to Rising security products.	general	1	1	1	1	T1036
Impersonates services related to Sophos security products.	general	1	1	1	1	T1036
Impersonates services related to Symantec security products.	general	1	1	1	1	T1036
Impersonates services related to TrendMicro security products.	general	1	1	1	1	T1036
Impersonates services related to ZoneLabs security products.	general	1	1	1	1	T1036
Implements drag-and-drop functionality, or has access to dragged-and-dropped files.	general	0	0	0	0	
Imports a certificate file.	general	0	0	0	0	T1130
Imports a certificate.	general	0	0	0	0	T1130
Imports command aliases from file.	general	0	0	0	1	T1027;T1086
Imports commands from another PowerShell session.	general	0	0	0	1	T1027;T1086
Imports form fields from file.	general	0	0	0	0	
Imports icon data from another file.	general	0	0	0	0	
Imports new pages into document.	general	0	0	0	0	
Imports security settings from an embedded file.	general	0	0	0	0	
Imports spelling dictionary from files.	general	0	0	0	0	
Imports values from .PSD1 file.	general	0	0	0	0	
Imports watermark from file.	general	0	0	0	0	
Injects a DLL to a DNS server.	general	0	0	0	1	T1055
Injects CSS into a page.	general	0	0	0	0	
Injects JavaScript code into a page.	general	0	0	0	0	
Inserts ARP table entries.	general	0	0	1	1	T1040;T1498
Inserts items into a listbox.	general	0	0	0	0	
Installs an assembly.	general	0	0	0	0	
Installs or removes Windows Store apps.	general	0	0	0	0	
Installs packages via apt.	general	0	0	0	0	
Installs packages via dpkg.	general	0	0	0	0	
Installs packages via pip.	general	0	0	0	0	
Installs packages via yum.	general	0	0	0	0	
Installs system drivers.	general	0	0	0	0	
Interacts with Microsoft .NET Framework code, types and assemblies.	general	0	0	0	0	
Issues DNS queries.	general	0	0	1	0	
Issues system-wide notifications for events performed by the application.	general	0	0	0	0	
Kills processes.	general	1	0	0	0	
Launches a URL in a browser window.	general	0	0	0	0	
Launches an application.	general	0	0	0	0	
Lets a user with administrative privileges take ownership of the specified job.	general	0	0	0	0	T1197
Listens on incoming network connections.	general	0	0	0	0	
Lists configuration files.	general	0	0	0	0	T1083
Lists dead processes.	general	0	0	0	0	T1057
Lists directory contents.	general	1	0	0	0	T1083
Lists information about network adapters.	general	0	0	1	0	
Loads a trusted execution enclave with an executable image.	general	1	1	1	1	
Loads a trusted execution enclave with data.	general	0	0	0	0	
Loads additional networking APIs.	general	1	0	1	1	
Loads additional snap-ins or modules to the current session.	general	0	0	0	0	T1129
Loads additional snippets in Integrated Scripting Environment (ISE).	general	0	0	0	0	
Loads the index file.	general	0	0	0	0	
Loads/unloads drivers.	general	1	1	1	1	
Loads/unloads kernel modules.	general	0	0	0	0	T1215
Locates network services using DNS-SD.	general	0	0	1	0	
Logs off a user from a session.	general	0	0	0	0	T1531
Logs out of a security handler.	general	0	0	0	0	
Logs SOAP requests to console.	general	0	0	0	0	
Makes document accessible to JavaScript scripts in other documents.	general	0	0	0	0	
Makes HTTP GET requests.	general	1	1	1	1	
Makes HTTP requests.	general	1	1	1	1	
Manages sparse files.	general	0	0	0	0	
Manipulates base URL.	general	0	0	0	0	
Manipulates default macro code in the normal template document.	general	0	0	0	0	T1064;T1137;T1221
Manipulates icons in the document.	general	0	0	0	0	
Manipulates macro code in the currently active document.	general	0	0	0	0	T1064;T1221
Manipulates macro code in the currently active workbook.	general	0	0	0	0	T1064;T1221
Manipulates macro code in the currently active workbooks.	general	0	0	0	0	T1064;T1221
Manipulates menus and toolbars.	general	0	0	0	0	
Manipulates panels or sidebars in Developer Tools window.	general	0	0	0	0	
Manipulates proxy settings.	general	0	0	0	0	
Manipulates settings that control features of third-party network services.	general	0	0	0	0	
Manipulates settings that determine what information browser makes available to websites.	general	0	0	0	0	
Manipulates settings that influence handling of network connections.	general	0	0	0	0	
Manipulates spelling dictionary.	general	0	0	0	0	
Manipulates user input.	general	0	0	0	0	
Manipulates XML using XPath expressions.	general	0	0	0	0	
Marks a function as trusted.	general	0	0	0	0	
May capture screen content or media.	general	0	0	0	0	T1113
Might access browsing history.	general	0	0	0	1	T1005
Might access clipboard.	general	0	1	0	1	T1115
Might access credential storage.	general	0	0	0	1	T1003;T1503
Might access data from recorded media streams.	general	0	0	0	0	
Might access embedded frames.	general	0	0	0	0	
Might access media gallery.	general	0	0	0	0	
Might access offline resources.	general	0	0	0	0	
Might access or change current URL (location).	general	0	0	0	0	
Might access outer frame.	general	0	0	0	0	
Might access outer window.	general	0	0	0	0	
Might access the 3D JavaScript engine.	general	0	0	0	0	
Might append data to streaming buffers.	general	0	0	0	0	
Might cache requests.	general	0	0	0	0	
Might change active document.	general	0	0	0	0	
Might change current history stack.	general	0	0	0	0	
Might change download filename.	general	0	0	0	0	
Might check for available permissions.	general	0	0	0	0	
Might check if the cookies are enabled.	general	0	0	0	0	
Might check the value of the user's Do-Not-Track preference.	general	0	0	0	0	
Might communicate to server over HTTP using XMLHttpRequest.	general	0	0	0	0	
Might communicate with other windows.	general	0	0	0	0	
Might communicate with peers over WebRTC connection.	general	0	0	0	0	
Might communicate with server over HTTP using Fetch API.	general	0	0	0	0	
Might communicate with server over WebRTC connection.	general	0	0	0	0	
Might compile and link WebGL programs.	general	0	0	0	0	
Might connect to a server over HTTP and receive events.	general	0	0	0	0	
Might connect to Bluetooth devices.	general	0	0	0	0	
Might connect to listeners within an extension/app or other extensions/apps.	general	0	0	0	0	
Might connect to native applications in the host machine.	general	0	0	0	0	
Might connect to the content script in the opened tabs.	general	0	0	0	0	
Might contain potentially obfuscated code or data.	general	0	0	0	0	T1027
Might create additional elements programmatically.	general	0	0	0	0	
Might create local file system.	general	0	0	0	0	
Might decode or encode data using Base64.	general	0	0	0	0	T1140;T1027
Might delete IndexedDB database.	general	0	0	0	0	
Might display notifications.	general	0	0	0	0	
Might enumerate available network adapters.	general	0	0	1	1	T1016
Might enumerate available plugins.	general	0	0	0	0	T1518
Might enumerate available storage.	general	0	0	0	0	
Might enumerate Bluetooth devices.	general	0	0	1	1	T1120
Might enumerate build version of the browser.	general	0	0	0	1	T1518
Might enumerate current domain.	general	0	0	0	0	
Might enumerate current locale.	general	0	0	0	0	
Might enumerate embedded elements.	general	0	0	0	0	
Might enumerate files on file system.	general	0	0	0	0	
Might enumerate HID devices.	general	0	0	1	1	T1120
Might enumerate information about connected displays.	general	0	0	0	1	T1120
Might enumerate information about screen.	general	0	0	0	0	
Might enumerate loaded applets.	general	0	0	0	0	T1518
Might enumerate loaded scripts.	general	0	0	0	0	T1518
Might enumerate loaded stylesheets.	general	0	0	0	0	
Might enumerate media device info.	general	0	0	0	0	
Might enumerate MIDI devices.	general	0	0	0	1	T1120
Might enumerate number of redirects or type of last navigation.	general	0	0	0	0	
Might enumerate referrer.	general	0	0	0	0	
Might enumerate serial devices.	general	0	0	0	1	T1120
Might enumerate time related performance information.	general	0	0	0	0	
Might enumerate USB devices.	general	0	0	1	1	T1120
Might enumerate user agent of the current browser.	general	0	0	0	0	
Might enumerate VR hardware.	general	0	0	1	1	T1120
Might evaluate code dynamically.	general	1	1	1	1	T1027
Might execute on browser or extension update.	general	0	0	0	0	T1176
Might execute on browser startup.	general	0	0	0	0	
Might execute script using Web Worker API.	general	0	0	0	0	
Might implement a text-to-speech engine.	general	0	0	0	0	
Might initiate installation from a web store.	general	0	0	0	0	
Might load additional DLLs and APIs.	general	0	0	0	0	
Might load scripts into web worker.	general	0	0	0	0	
Might lock pointer.	general	0	0	0	0	
Might manipulate cookies.	general	0	0	0	0	
Might monitor browsing activity.	general	0	1	0	1	T1005
Might monitor keystrokes.	general	0	1	0	1	T1056
Might monitor media devices.	general	0	0	0	1	T1123;T1125
Might monitor tabs.	general	0	1	0	1	
Might monitor USB devices.	general	0	1	0	1	
Might move through history.	general	0	0	0	0	
Might observe and analyze traffic and intercept, block, or modify requests in-flight.	general	0	0	0	0	T1040
Might obtain payment information from user.	general	0	1	0	1	T1141
Might open custom options page.	general	0	0	0	0	
Might open print dialog.	general	0	0	0	0	
Might output messages to console.	general	0	0	0	0	
Might override 'Enable JavaScript Execution' user preference.	general	0	0	0	0	T1064
Might parse XML or HTML source string into a document.	general	0	0	0	0	
Might persist data.	general	0	0	0	0	
Might read a virtual file.	general	0	0	0	0	
Might read data from an off-screen canvas.	general	0	0	0	0	
Might read data from rendering context.	general	0	0	0	0	
Might receive data from WebRTC connection.	general	0	0	0	0	
Might record media streams.	general	0	0	0	0	
Might reload the app or extension.	general	0	0	0	0	T1176
Might request additional permissions.	general	0	0	0	0	
Might request notification permissions.	general	0	0	0	0	
Might revoke granted permissions.	general	0	0	0	0	
Might send a message to a native application.	general	0	0	0	0	
Might send a message to listeners within extension or to a different extension.	general	0	0	0	0	
Might send a message to the content script in the opened tab.	general	0	0	0	0	
Might send output to operating system console.	general	0	0	0	0	
Might start profiling.	general	0	0	0	0	
Might store data using IndexedDB.	general	0	0	0	0	
Might store local data.	general	0	0	0	0	
Might sync data using Chrome Sync.	general	0	0	0	0	
Might tamper with volume shadow copies.	general	1	0	0	0	
Might use 2D rendering.	general	0	0	0	0	
Might use camera, screen sharing or microphone.	general	0	0	0	1	T1123;T1125;T1113
Might use Geolocation services.	general	0	0	0	0	
Might use Google Drive for file storage.	general	0	0	0	0	T1530
Might use high-privilege worker.	general	0	0	0	0	
Might use mDNS to discover devices or services.	general	0	0	1	0	
Might use native system API.	general	0	0	0	0	
Might use network sockets.	general	0	0	0	0	
Might use off-screen canvas.	general	0	0	0	0	
Might use Service Workers.	general	0	0	0	0	
Might use the Credential Management API.	general	0	0	0	0	
Might use vibration hardware on the device.	general	0	0	0	0	
Might use Web Background Synchronization.	general	0	0	0	0	
Might use Web Storage API.	general	0	0	0	0	
Might visit an URL on uninstall.	general	0	0	0	0	
Modifies a browser window.	general	0	0	0	0	
Modifies an object identifier (OID).	general	0	0	0	0	
Modifies Bitcoin wallet files.	general	0	0	0	0	
Modifies Boot.ini file settings.	general	1	0	0	0	T1067
Modifies environment path in current command session.	general	0	0	0	0	
Modifies file/directory attributes.	general	0	0	0	0	T1222
Modifies file/directory ownership.	general	0	0	0	0	T1222
Modifies file/directory permission.	general	0	0	0	0	T1222
Modifies file/directory permissions.	general	0	0	0	0	T1222
Modifies handler for F11 function key, used to access the macro editor.	general	0	0	0	0	
Modifies handler for F8 function key, used to open the macro dialog box.	general	0	0	0	0	
Modifies log files.	general	1	1	1	1	T1070
Modifies SSH key files.	general	0	0	0	0	T1145
Modifies system time.	general	0	0	0	0	
Modifies user login log files.	general	0	0	0	0	T1070
Modifies user profile settings.	general	0	0	0	0	T1098
Monitors battery status.	general	0	0	0	0	
Monitors browser processes.	general	0	0	0	0	
Monitors browser windows for changes.	general	0	0	0	0	
Monitors browsing history.	general	0	0	0	1	T1005
Monitors devices associated with current account.	general	0	0	0	0	
Monitors DirectAccess connection status.	general	0	0	0	0	T1086
Monitors directory changes.	general	0	0	0	0	
Monitors for bookmark changes.	general	0	0	0	0	
Monitors installation, enabling or disabling of an app or extension.	general	0	0	0	0	T1176
Monitors keyboard strokes.	general	0	1	0	1	T1056
Monitors local or synced data storage for changes.	general	0	0	0	0	
Monitors mouse activity.	general	0	1	0	1	T1056
Monitors mouse movement.	general	0	1	0	1	T1056
Monitors network requests.	general	0	0	0	0	T1040
Monitors network traffic.	general	0	0	0	0	T1040
Monitors performance counters.	general	0	0	0	0	
Monitors recently closed tabs or windows.	general	0	1	0	1	
Monitors system I/O devices.	general	0	1	0	1	
Monitors system-wide notifications for application related events.	general	0	0	0	0	
Monitors the machine's idle state.	general	0	0	0	0	
Monitors user input when activated with keyword in address bar.	general	0	1	0	0	T1056
Monitors user input.	general	0	1	0	1	T1056
Monitors VPN session for new packets.	general	0	0	0	0	T1040
Monitors VR peripherals.	general	0	0	0	0	
Monitors Web Storage changes.	general	0	0	0	0	
Mounts a partition.	general	0	0	0	0	
Mounts filesystems or other media.	general	0	0	0	0	
Mounts ISO or VHD disk images.	general	0	0	0	0	
Mounts WIM or VHD disk image files.	general	0	0	0	0	
Moves files or registry keys.	general	0	0	0	0	
Moves properties of items, such as registy values.	general	0	0	0	0	T1112
Obtains a reference to a security handler.	general	0	0	0	0	
Opens a dialog box that allows a user to choose a list of recipients.	general	0	0	0	0	
Opens a FDF file.	general	0	0	0	0	
Opens a file.	general	0	0	0	0	
Opens a new tab.	general	0	0	0	0	
Opens an off-screen tab and starts content capture.	general	0	0	0	1	
Opens and closes media player.	general	0	0	0	0	
Opens download folder.	general	1	1	1	1	
Opens downloaded file.	general	1	1	1	1	
Overwrites free space and prevents file recovery.	general	1	0	0	0	T1107
Packages files into a cabinet (.cab) file.	general	0	0	0	0	
Parses URL.	general	0	0	0	0	
Performs a document scan.	general	0	0	0	0	
Performs network scanning with nmap.	general	0	0	0	0	
Performs tasks related to FAT and NTFS file systems.	general	1	0	0	0	
Persists a global variable.	general	0	0	0	0	
Plays a sound from file.	general	0	0	0	0	
Plays a sound.	general	0	0	0	0	
Plays audio streams in WAV format.	general	0	0	0	0	
Plays media.	general	0	0	0	0	
Possibly does API hooking.	general	1	1	1	1	T1179
Possibly does process injection.	general	1	1	1	1	
Prepares a hard drive with the partitions necessary for BitLocker Drive Encryption.	general	1	0	0	0	
Prepares for playback of URL.	general	0	0	0	0	
Prepares to play media from the Internet.	general	0	0	0	0	
Presents a file system browser.	general	0	0	0	0	
Prevents creating an interactive prompt for the user during execution.	general	0	0	0	0	
Prevents loading profile scripts during execution of some commands.	general	0	0	0	0	T1086
Prints document.	general	0	0	0	0	
Probably obfuscated with AgileDotNet .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Babel .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Beds-Protector .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Ben Mhenni Protect .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with BitHelmet HVM .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with CodeVeil .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with CodeWall .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Confuser .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with CryptoObfuscator .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with DeepSeaObfuscator .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with DNGuard HVM .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Dotfuscator .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with DotNetPatcher .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with dotNetProtector .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Eziriz's .NET Reactor obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Fody .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Goliath .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with NETGuard .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with NineRays .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Orange Heap .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Phoenix Protector .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Skater .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with SmartAssembly .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Xenocode .NET obfuscator.	general	0	0	0	0	T1027
Probably obfuscated with Yano .NET obfuscator.	general	0	0	0	0	T1027
Probably packed with a .NET packer employing the RunPE technique.	general	0	0	0	0	T1027;T1045
Probably packed with ObfPacker .NET packer.	general	0	0	0	0	T1027;T1045
Prompts user for credentials.	general	0	1	0	0	T1141
